customer_id,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
CUST_1114,105.28,121.23,117.12,110.35,128.44,117.17,116.78,126.62,104.76,124.14,129.73,127.38
CUST_1115,120.33,106.79,97.45,96.57,105.29,112.59,121.43,99.59,103.1,121.34,97.01,123.56
CUST_1116,63.13,73.1,58.66,68.49,68.53,67.07,75.73,65.07,69.66,60.77,62.76,60.84
CUST_1117,59.94,77.51,75.15,78.35,51.98,69.93,77.9,61.24,57.55,56.95,70.98,52.51
CUST_1118,117.84,104.61,116.26,113.8,118.24,129.43,127.59,122.38,118.99,103.23,104.73,128.32
CUST_1119,69.6,76.26,63.73,58.41,70.88,56.36,64.25,60.5,50.43,74.74,63.59,50.89
CUST_1120,41.7,41.47,32.86,49.88,40.26,47.6,27.81,34.72,54.37,27.72,30.48,47.82
CUST_1121,122.51,113.44,127.93,129.36,138.66,121.57,123.9,135.75,124.27,135.37,109.92,132.95
CUST_1122,117.63,96.98,104.06,113.96,99.4,118.09,103.64,107.39,118.8,102.18,112.28,122.79
CUST_1123,89.2,112.27,116.81,111.65,116.06,93.84,88.85,114.69,91.89,113.23,104.04,98.11
CUST_1124,78.55,93.31,74.57,80.57,93.6,70.16,73.79,96.7,83.19,98.18,100.01,91.61
CUST_1125,63.21,60.97,70.18,64.33,67.34,66.27,59.86,85.94,64.1,63.71,66.65,71.54
CUST_1126,71.23,90.53,88.09,85.58,83.56,68.21,77.51,64.44,76.3,75.73,89.54,81.96
CUST_1127,44.84,66.96,55.66,55.14,50.48,66.57,53.25,49.78,53.34,40.99,62.42,49.07
CUST_1128,58.54,57.66,84.82,68.49,63.59,59.73,76.78,66.46,65.0,72.87,78.12,74.14
CUST_1129,95.04,109.05,101.62,108.07,91.36,95.02,96.78,99.79,107.86,113.14,90.42,114.89
CUST_1130,98.74,100.42,91.75,102.72,108.64,93.59,97.16,105.23,97.63,114.24,98.97,112.28
CUST_1131,91.01,98.33,100.46,79.27,93.02,95.39,75.67,80.11,103.61,86.82,102.81,83.94
CUST_1132,42.49,37.88,43.96,35.51,40.75,27.68,36.87,40.97,33.7,39.18,33.34,38.61
CUST_1133,105.93,99.13,98.47,79.37,101.24,82.67,81.51,82.05,89.58,99.93,78.82,103.7
CUST_1134,51.5,53.39,45.37,68.27,46.83,61.05,70.29,56.22,46.05,53.77,48.72,61.08
CUST_1135,105.06,110.65,96.11,92.46,108.05,83.83,89.87,95.16,86.43,92.65,95.33,87.49
CUST_1136,83.44,78.97,87.39,84.84,91.16,92.86,91.69,66.42,75.93,80.61,91.12,77.08
CUST_1137,71.47,73.21,62.53,86.18,73.54,84.44,78.77,63.96,62.84,73.66,65.32,77.0
CUST_1138,120.86,106.6,120.27,104.24,113.69,122.37,97.89,99.36,111.24,102.58,121.18,122.25
CUST_1139,41.3,57.58,54.23,42.02,47.99,46.33,54.05,40.56,59.49,58.03,55.13,62.64
CUST_1140,69.41,59.14,66.81,47.91,53.93,71.5,49.44,70.35,61.83,67.3,67.83,55.45
CUST_1141,80.21,71.25,89.64,89.93,93.33,84.29,95.1,95.15,74.78,67.18,70.57,72.92
CUST_1142,89.84,87.14,84.35,79.8,93.63,73.12,75.54,91.98,77.38,88.32,76.52,78.37
CUST_1143,102.48,107.14,122.53,110.53,103.94,126.48,115.82,123.43,119.77,122.59,123.02,104.88
CUST_1144,101.61,90.84,85.0,101.94,74.07,76.25,82.49,100.21,73.84,75.12,88.59,83.65
CUST_1145,125.26,116.63,126.24,121.09,119.4,116.55,111.71,112.85,129.72,115.01,108.3,104.7
CUST_1146,56.24,42.67,59.14,47.08,65.33,51.55,43.75,40.85,57.15,68.84,63.55,64.95
CUST_1147,110.56,115.09,112.35,109.53,97.81,107.23,100.37,100.4,98.33,112.78,121.27,104.59
CUST_1148,88.39,85.12,72.58,73.53,65.97,66.66,66.78,81.09,70.55,84.46,76.79,82.04
CUST_1149,117.93,130.7,106.47,128.92,117.02,122.7,103.57,119.66,126.61,118.54,122.11,123.53
CUST_1150,84.28,76.55,74.52,80.78,80.4,85.38,93.58,90.88,90.53,102.08,81.94,78.51
CUST_1151,78.4,81.16,87.87,66.5,70.86,81.39,65.37,75.94,64.49,76.97,80.66,68.0
CUST_1152,106.07,102.54,100.52,108.03,107.8,119.04,116.7,127.42,106.06,122.43,101.01,101.61
CUST_1153,26.89,24.91,34.44,22.25,33.99,31.57,33.09,21.15,33.07,40.78,27.67,27.03
CUST_1154,79.11,71.82,70.24,66.72,74.41,60.17,59.7,85.54,64.3,84.52,85.91,62.24
CUST_1155,116.14,106.09,97.23,100.08,103.54,98.44,104.32,101.5,104.87,107.97,100.27,92.97
CUST_1156,97.36,92.62,87.3,85.17,107.51,97.71,98.84,86.28,101.52,97.36,105.77,83.7
CUST_1157,48.01,51.05,52.17,55.13,43.62,47.47,58.48,34.41,51.81,45.45,45.2,39.83
CUST_1158,121.15,100.21,100.42,120.42,112.57,98.25,114.32,115.3,98.71,100.31,104.53,122.15
CUST_1159,108.99,111.24,106.35,91.42,91.32,95.75,98.78,87.17,88.88,85.56,110.55,91.22
CUST_1160,103.47,91.66,103.85,99.37,104.19,112.14,93.72,96.29,91.21,90.33,96.24,99.08
CUST_1161,54.57,49.34,47.88,40.87,61.03,38.53,53.91,43.06,57.89,42.54,55.02,37.0
CUST_1162,37.57,28.83,47.58,47.09,38.48,47.51,30.44,40.33,32.82,54.76,36.85,33.13
CUST_1163,95.68,87.46,99.77,107.17,101.04,102.88,105.25,109.9,111.8,91.51,94.29,114.49
CUST_1164,51.63,45.13,49.63,37.32,60.15,50.49,39.74,46.79,39.6,40.27,39.82,46.37
CUST_1165,88.16,82.49,73.84,67.44,88.14,74.23,84.14,73.86,67.77,65.76,76.75,82.07
CUST_1166,103.1,98.87,113.92,93.35,88.29,109.42,105.8,106.25,88.28,92.99,93.72,108.71
CUST_1167,95.0,119.32,120.44,115.6,97.63,98.68,115.42,94.48,100.27,106.41,106.49,94.92
CUST_1168,71.97,74.95,68.75,66.28,49.29,70.87,59.39,58.68,51.13,71.35,60.9,68.81
CUST_1169,62.22,61.89,84.66,81.19,60.24,72.51,71.38,61.58,58.63,72.63,60.8,83.94
CUST_1170,98.2,81.9,90.49,94.07,75.37,89.92,86.77,94.05,79.76,74.94,84.97,85.9
CUST_1171,89.36,94.02,113.66,112.44,111.53,96.87,85.48,94.65,91.25,110.19,96.64,104.8
CUST_1172,86.81,86.37,90.89,71.06,69.91,64.17,67.24,88.1,73.24,75.09,66.34,78.39
CUST_1173,60.8,61.47,51.51,51.8,45.33,59.6,37.81,50.29,53.11,47.37,61.39,58.74
CUST_1174,67.23,65.37,90.72,90.79,77.87,79.52,85.06,80.49,73.6,75.44,86.72,68.9
CUST_1175,111.02,117.98,134.62,131.05,115.25,128.59,130.6,126.2,110.71,107.11,116.81,109.94
CUST_1176,89.02,62.75,63.39,75.68,83.45,62.37,80.87,85.0,77.77,87.45,64.93,82.12
CUST_1177,91.41,89.09,93.89,100.22,99.55,93.1,84.71,89.25,96.97,84.31,110.07,94.48
CUST_1178,78.13,80.04,85.05,85.8,79.51,81.83,99.29,82.07,87.66,90.23,82.71,92.01
CUST_1179,134.78,121.1,113.83,114.97,127.74,111.06,129.21,126.31,123.76,133.88,132.46,118.39
CUST_1180,104.68,100.22,121.9,106.08,96.51,113.9,109.58,110.73,96.82,119.36,113.71,103.92
CUST_1181,74.06,89.46,65.97,88.67,83.46,69.85,76.87,79.23,76.24,82.01,72.62,74.41
CUST_1182,50.17,54.65,32.17,31.83,53.36,41.74,28.24,33.39,56.14,39.16,43.84,56.25
CUST_1183,107.06,114.85,105.42,114.02,106.94,128.86,132.37,109.3,123.5,124.5,110.63,119.93
CUST_1184,96.94,84.44,95.53,88.33,86.19,109.24,111.77,95.32,84.74,84.84,104.33,94.49
CUST_1185,117.99,98.09,109.93,91.12,105.49,112.83,106.86,107.51,107.36,98.32,116.26,95.35
CUST_1186,115.81,116.53,107.61,122.27,113.87,123.15,107.38,120.72,110.21,109.08,131.19,114.25
CUST_1187,64.64,69.5,53.01,59.62,44.25,51.03,43.72,67.19,51.03,49.03,57.22,47.83
CUST_1188,91.28,98.25,96.24,93.9,84.47,102.7,109.25,106.05,110.57,85.54,85.23,94.11
CUST_1189,80.7,75.15,75.02,84.22,63.68,64.61,57.79,84.21,64.0,85.99,61.88,72.01
CUST_1190,116.59,108.31,110.3,126.98,137.3,122.08,127.6,124.5,120.77,132.39,119.6,125.93
CUST_1191,66.06,58.93,83.59,68.35,81.48,60.97,72.2,74.48,85.95,67.94,79.71,81.76
CUST_1192,68.71,85.88,77.57,75.07,66.73,83.5,83.4,72.74,77.2,85.44,80.69,63.79
CUST_1193,68.98,52.02,71.71,60.17,60.3,52.82,58.81,72.47,64.58,65.93,56.82,62.63
CUST_1194,51.98,53.63,42.02,61.44,36.69,55.17,47.18,61.92,55.5,46.51,48.23,63.28
CUST_1195,73.89,83.6,86.37,75.22,92.09,66.48,65.98,94.13,83.92,71.82,89.03,90.4
CUST_1196,57.59,63.58,60.5,57.78,65.48,64.73,75.94,75.09,79.6,62.44,67.72,73.85
CUST_1197,60.33,35.19,34.29,52.44,45.41,32.19,32.74,39.09,38.99,60.51,44.8,42.75
CUST_1198,64.03,55.07,44.78,55.28,38.42,41.12,42.87,43.54,66.25,62.66,63.48,39.76
CUST_1199,130.73,110.53,110.17,110.13,108.01,125.8,104.01,124.21,109.36,109.98,107.58,126.56
CUST_1200,87.81,98.15,78.11,107.19,103.52,90.54,91.04,80.54,82.42,100.66,96.1,89.35
CUST_1201,50.15,44.55,30.52,54.51,51.25,37.33,52.4,53.45,46.38,53.57,51.53,38.38
CUST_1202,68.19,66.24,69.47,48.76,71.48,49.78,59.04,54.65,48.0,50.81,58.01,53.87
CUST_1203,124.28,109.04,130.86,132.7,110.63,128.33,109.93,107.19,132.86,124.62,133.5,110.59
CUST_1204,47.27,28.57,52.49,28.22,33.23,46.02,29.49,52.15,27.61,28.53,35.9,36.38
CUST_1205,40.59,46.68,52.27,41.9,47.99,45.2,50.51,58.25,41.58,52.81,46.64,40.69
CUST_1206,92.71,103.44,77.1,82.43,95.9,83.38,90.62,97.05,86.2,75.77,93.84,74.98
CUST_1207,99.28,110.44,96.41,104.02,109.77,94.62,111.65,107.46,93.29,83.28,82.21,85.76
CUST_1208,86.69,88.04,107.04,105.65,96.33,99.44,105.58,88.13,100.88,109.28,98.59,98.91
CUST_1209,100.44,116.36,111.15,100.57,108.33,111.95,104.38,90.4,117.45,118.7,98.4,107.78
CUST_1210,37.4,35.27,50.42,43.58,35.2,30.22,46.48,37.91,44.91,42.6,50.13,25.86
CUST_1211,57.86,52.77,58.98,65.62,67.13,65.42,47.52,45.17,58.05,63.75,50.92,37.51
CUST_1212,115.53,94.9,114.98,99.73,97.54,89.93,90.96,89.14,88.28,107.62,98.22,106.09
CUST_1213,101.4,101.89,109.28,94.74,110.28,111.09,104.34,88.51,94.9,99.35,100.35,99.81
CUST_1214,85.16,87.45,79.96,92.5,82.69,89.85,79.45,88.97,72.09,80.64,83.36,100.8
CUST_1215,104.32,80.48,80.52,100.9,87.92,105.46,105.27,77.63,103.44,99.23,100.66,81.91
CUST_1216,125.7,114.26,128.21,122.66,101.76,107.56,125.36,122.47,120.03,108.2,109.31,116.1
CUST_1217,115.59,137.54,121.02,132.83,124.43,133.21,119.95,121.74,135.16,127.82,118.03,132.29
CUST_1218,101.18,100.98,88.86,99.01,116.13,100.78,89.73,106.62,98.56,93.03,94.79,87.39
CUST_1219,93.87,72.41,84.93,95.37,70.85,91.35,65.72,78.94,84.22,87.48,76.67,71.15
CUST_1220,115.84,129.05,122.3,125.37,111.43,119.77,129.42,128.83,130.86,135.28,134.96,137.64
CUST_1221,55.36,59.49,60.56,56.69,66.91,42.2,54.97,45.13,68.58,57.39,44.93,44.22
CUST_1222,55.99,40.45,63.43,44.25,49.45,56.51,40.25,46.56,66.35,49.2,56.26,60.96
CUST_1223,56.35,56.29,37.36,63.95,51.44,46.54,50.32,64.85,38.67,47.99,53.54,40.15
CUST_1224,101.32,117.69,103.73,104.99,112.55,112.27,92.13,103.39,101.85,88.54,101.0,92.69
CUST_1225,101.73,99.13,101.58,94.06,103.0,95.02,105.87,102.64,81.1,91.34,83.99,93.44
CUST_1226,44.21,27.85,56.11,34.36,34.01,49.62,27.25,52.66,27.28,34.78,35.27,34.71
CUST_1227,123.07,108.68,106.81,120.05,113.36,127.79,102.71,100.5,101.71,104.82,101.94,116.5
CUST_1228,108.72,123.34,110.68,121.1,131.91,117.71,116.72,129.25,128.59,114.82,131.97,123.51
CUST_1229,77.35,73.14,80.61,82.21,76.79,76.68,64.23,61.07,69.4,76.46,84.48,58.46
CUST_1230,98.4,124.66,107.69,107.65,108.65,96.29,116.49,102.3,107.72,121.24,124.42,106.7
CUST_1231,95.77,99.25,108.56,120.03,96.1,120.43,120.92,99.9,104.04,109.87,96.54,104.02
CUST_1232,70.29,78.36,84.2,81.52,81.91,81.43,73.01,66.8,78.82,83.95,70.69,64.89
CUST_1233,85.81,80.98,83.26,73.6,91.4,76.46,68.06,70.15,86.03,77.96,87.62,78.09
CUST_1234,33.05,45.35,29.13,48.35,22.85,31.22,28.47,23.28,20.57,42.69,30.45,25.21
CUST_1235,131.5,133.49,130.58,130.83,119.43,123.19,122.63,109.11,117.56,113.08,120.67,109.5
CUST_1236,86.43,86.55,81.72,83.96,99.09,96.35,90.32,75.44,86.08,95.38,75.37,75.92
CUST_1237,116.55,119.62,104.15,122.08,99.4,103.25,114.04,121.72,113.93,112.18,123.77,103.24
CUST_1238,69.29,75.0,66.16,56.6,52.31,57.05,57.48,59.54,57.23,78.51,67.57,56.83
CUST_1239,79.28,55.58,79.38,54.11,68.06,69.9,60.04,63.13,69.87,52.16,77.82,65.07
CUST_1240,95.39,79.51,93.45,76.1,92.26,85.27,89.65,85.79,80.34,75.42,84.01,81.9
CUST_1241,34.94,36.2,40.39,32.01,34.81,20.78,24.42,30.75,25.23,36.47,44.17,34.65
CUST_1242,84.32,62.8,70.93,69.7,89.34,68.73,72.55,86.31,90.21,83.6,76.13,80.69
CUST_1243,110.37,88.87,114.16,95.4,114.22,113.42,111.29,91.34,88.97,89.55,113.97,113.57
CUST_1244,75.03,84.44,96.06,75.32,72.65,97.47,99.07,80.02,73.53,73.96,87.75,95.44
CUST_1245,32.95,46.98,51.25,55.16,53.64,51.96,56.28,49.8,53.08,54.71,47.87,35.02
CUST_1246,50.14,50.07,42.95,49.9,38.18,50.31,42.73,55.13,43.49,41.36,47.22,37.56
CUST_1247,98.9,89.03,99.65,95.61,86.58,84.24,79.5,102.4,86.46,90.68,81.65,87.99
CUST_1248,107.45,97.32,122.15,107.6,121.75,104.11,105.99,100.2,116.85,117.1,98.24,124.22
CUST_1249,95.68,103.93,97.89,116.02,114.92,91.05,104.95,101.8,91.03,100.06,104.33,89.14
CUST_1250,105.77,122.63,123.54,125.65,110.97,131.92,119.15,133.59,113.46,125.86,131.87,123.87
CUST_1251,98.54,113.22,111.17,105.13,107.13,112.61,119.12,92.98,114.25,116.01,110.51,103.55
CUST_1252,117.52,112.01,119.96,113.73,122.38,101.8,110.37,102.0,124.33,123.53,125.5,113.32
