customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract_type,internet_service,monthly_charges,total_charges,region
CUST_1121,Male,0,1,0,2,One year,fibre optic,118.99,234.37,Virginia
CUST_1122,Female,0,1,0,59,Month-to-month, None,103.75,6113.86,California
CUST_1123,Female,0,0,1,23,Month-to-month,DSL,97.62,2232.89,Minnesota
CUST_1124,Male,0,1,0,11,Two years,fibre optic,80.07,926.83,West Virginia
CUST_1125,Female,0,0,0,22,Two years,fibre optic,69.28,1508.82,Indiana
CUST_1126,Female,0,0,0,36,One year, None,73.57,2649.62,New York
CUST_1127,Female,0,1,0,61,One year,DSL,49.33,2990.04,Oklahoma
CUST_1128,Female,0,1,1,44,Month-to-month,fibre optic,65.04,2867.52,California
CUST_1129,Female,0,0,0,48,Month-to-month,fibre optic,95.74,4592.33,Maryland
CUST_1130,Male,1,0,0,14,Month-to-month,DSL,101.71,1469.85,Florida
CUST_1131,Female,1,1,0,10,One year, None,84.83,850.6,Colorado
CUST_1132,Female,0,0,0,53,Month-to-month,DSL,37.47,1989.65,Hawaii
CUST_1133,Female,0,1,1,12,One year,fibre optic,87.2,1030.22,New Jersey
CUST_1134,Female,1,0,0,53,Two years,fibre optic,51.92,2782.95,New Hampshire
CUST_1135,Female,0,0,0,14,Two years,fibre optic,93.12,1323.66,Minnesota
CUST_1136,Male,1,1,1,45,Month-to-month,fibre optic,74.88,3393.57,North Carolina
CUST_1137,Female,0,0,0,58,Two years,fibre optic,66.54,3882.13,California
CUST_1138,Male,0,1,1,69,One year,DSL,103.15,7167.34,Michigan
CUST_1139,Female,0,0,0,24,One year,DSL,42.9,1016.16,Florida
CUST_1140,Female,0,0,0,21,Month-to-month,DSL,51.88,1074.45,Maine
CUST_1141,Female,1,0,0,52,Month-to-month,fibre optic,75.24,3927.72,Wisconsin
CUST_1142,Female,0,1,1,7,Two years,fibre optic,79.77,579.89,Massachusetts
CUST_1143,Female,0,0,0,56,Month-to-month,fibre optic,109.08,6135.8,Texas
CUST_1144,Male,1,1,1,6,Month-to-month,fibre optic,83.34,525.41,Nevada
CUST_1145,Female,0,0,0,71,Two years,fibre optic,111.98,7931.92,Illinois
CUST_1146,Male,0,0,0,37,Month-to-month,fibre optic,49.54,1876.08,Colorado
CUST_1147,Female,0,1,1,42,One year,fibre optic,106.26,4511.01,Missouri
CUST_1148,Male,0,0,1,62,Month-to-month,DSL,74.91,4687.7,Ohio
CUST_1149,Female,0,0,0,70,One year,fibre optic,112.46,7860.47,New York
CUST_1150,Female,0,1,1,45,Month-to-month,fibre optic,84.01,3824.46,Wyoming
CUST_1151,Male,0,1,1,70,Month-to-month,DSL,71.07,4963.18,Montana
CUST_1152,Male,0,0,0,67,One year,fibre optic,107.51,7237.96,North Carolina
CUST_1153,Female,0,0,0,39,Month-to-month,DSL,30.73,1217.73,Michigan
CUST_1154,Male,0,1,0,1,Month-to-month, None,68.29,67.67,Mississippi
CUST_1155,Female,0,1,0,9,Month-to-month,fibre optic,101.31,952.39,Oregon
CUST_1156,Male,0,0,1,60,Month-to-month,fibre optic,93.37,5592.97,Alabama
CUST_1157,Male,0,0,0,71,Month-to-month, None,41.76,3002.25,Delaware
CUST_1158,Female,0,0,1,5,Month-to-month,DSL,103.17,516.02,Wisconsin
CUST_1159,Female,0,0,1,40,Month-to-month,DSL,93.67,3771.79,Tennessee
CUST_1160,Female,1,0,1,31,Month-to-month,fibre optic,94.05,2958.75,Florida
CUST_1161,Male,0,0,0,43,Month-to-month,fibre optic,41.85,1824.95,Pennsylvania
CUST_1162,Female,0,1,0,27,Month-to-month,DSL,35.29,957.49,Missouri
CUST_1163,Male,0,0,0,38,Month-to-month,DSL,95.7,3632.69,Florida
CUST_1164,Female,0,1,1,28,Two years,fibre optic,42.08,1202.76,Hawaii
CUST_1165,Female,0,0,0,56,Month-to-month,fibre optic,75.22,4223.87,Wyoming
CUST_1166,Male,0,1,0,13,Month-to-month,DSL,97.97,1284.91,Indiana
CUST_1167,Female,1,0,0,51,One year,DSL,101.87,5215.81,California
CUST_1168,Male,0,1,0,35,Month-to-month,fibre optic,55.33,1943.5,Illinois
CUST_1169,Male,0,0,1,32,Month-to-month,DSL,65.28,2101.84,New Hampshire
CUST_1170,Male,0,1,0,18,One year,fibre optic,81.77,1509.01,Connecticut
CUST_1171,Female,0,0,1,17,One year,DSL,94.06,1598.6,Rhode Island
CUST_1172,Female,0,0,0,4,Month-to-month,fibre optic,71.14,289.86,Missouri
CUST_1173,Male,0,1,1,27,Month-to-month,fibre optic,41.76,1119.23,Indiana
CUST_1174,Male,0,0,1,58,One year,fibre optic,73.21,4238.31,North Dakota
CUST_1175,Female,0,1,1,61,One year,fibre optic,115.51,7048.93,Montana
CUST_1176,Male,0,0,0,18,Month-to-month,fibre optic,69.21,1269.39,Pennsylvania
CUST_1177,Male,0,1,0,44,Two years,DSL,93.94,4153.09,South Dakota
CUST_1178,Male,0,1,0,16,Month-to-month,fibre optic,81.31,1296.53,South Carolina
CUST_1179,Male,0,1,0,15,Month-to-month,fibre optic,117.38,1787.11,South Carolina
CUST_1180,Male,0,1,1,4,One year,DSL,103.67,453.7,Missouri
CUST_1181,Female,0,0,1,34,One year,fibre optic,69.73,2392.37,Maryland
CUST_1182,Male,0,0,1,25,Month-to-month,DSL,37.9,973.6,South Dakota
CUST_1183,Female,0,1,0,63,Month-to-month,fibre optic,113.06,7125.75,Colorado
CUST_1184,Male,0,0,1,7,Month-to-month,fibre optic,92.83,643.91,Idaho
CUST_1185,Female,0,1,1,17,One year,DSL,100.79,1742.43,New York
CUST_1186,Male,0,1,0,39,Month-to-month,fibre optic,116.28,4579.26,Vermont
CUST_1187,Male,0,0,0,50,Month-to-month,fibre optic,49.7,2525.48,Arkansas
CUST_1188,Female,1,1,0,39,Two years,fibre optic,94.46,3729.56,Utah
CUST_1189,Female,0,1,0,48,Two years,fibre optic,66.81,3216.18,Connecticut
CUST_1190,Male,0,1,0,6,One year, None,117.67,721.16,Wyoming
CUST_1191,Female,0,0,0,14,One year,DSL,66.38,947.79,Virginia
CUST_1192,Male,1,0,1,29,One year,DSL,72.43,2128.03,South Carolina
CUST_1193,Male,0,0,0,59,Month-to-month,fibre optic,53.91,3217.7,Oklahoma
CUST_1194,Male,1,0,0,58,Month-to-month,DSL,43.49,2511.5,Missouri
CUST_1195,Female,0,1,0,60,Month-to-month,fibre optic,75.55,4526.49,West Virginia
CUST_1196,Male,0,0,1,27,One year,fibre optic,62.13,1720.7,Maine
CUST_1197,Male,1,0,1,31,Month-to-month,fibre optic,40.56,1251.53,Rhode Island
CUST_1198,Female,0,0,0,19,One year,fibre optic,46.56,891.58,South Carolina
CUST_1199,Male,1,0,0,19,Month-to-month,fibre optic,112.57,2153.31,Iowa
CUST_1200,Female,0,0,0,7,One year,fibre optic,87.55,620.77,Iowa
CUST_1201,Female,0,1,1,69,Month-to-month,fibre optic,36.03,2490.95,Utah
CUST_1202,Male,0,1,0,37,One year,fibre optic,55.45,2034.77,Georgia
CUST_1203,Female,0,1,0,63,Two years,DSL,116.75,7401.49,Nevada
CUST_1204,Female,0,0,1,7,Month-to-month,fibre optic,37.05,250.89,Virginia
CUST_1205,Female,0,0,0,44,Month-to-month, None,47.59,2082.02,Kansas
CUST_1206,Female,1,0,0,23,Two years,fibre optic,83.48,1935.63,Indiana
CUST_1207,Female,0,1,1,41,Month-to-month,fibre optic,92.07,3792.13,Mississippi
CUST_1208,Male,0,0,0,29,Month-to-month,fibre optic,94.81,2770.68,Virginia
CUST_1209,Male,0,0,1,11,One year,fibre optic,98.73,1093.98,Wyoming
CUST_1210,Male,0,0,0,54,One year,DSL,35.29,1906.98,Connecticut
CUST_1211,Female,0,1,1,22,Two years,DSL,47.21,1034.87,Mississippi
CUST_1212,Male,0,1,1,25,Month-to-month,fibre optic,95.59,2434.42,New Hampshire
CUST_1213,Male,0,0,0,26,One year,fibre optic,91.14,2406.16,Maine
CUST_1214,Male,0,0,0,48,Month-to-month,DSL,81.11,3924.21,Maryland
CUST_1215,Female,0,0,0,50,Month-to-month,DSL,87.41,4369.19,Illinois
CUST_1216,Male,0,1,0,69,Month-to-month,fibre optic,109.87,7584.85,Pennsylvania
CUST_1217,Male,1,1,0,6,Two years,fibre optic,119.09,729.64,Georgia
CUST_1218,Female,0,1,0,57,One year,fibre optic,97.19,5567.57,South Carolina
CUST_1219,Female,0,1,1,45,Month-to-month, None,75.44,3432.15,Missouri
CUST_1220,Female,1,0,1,52,Month-to-month, None,118.8,6193.9,Maryland
CUST_1221,Female,0,1,1,28,Month-to-month, None,51.03,1427.48,Nebraska
CUST_1222,Female,1,0,0,53,Two years,fibre optic,49.88,2669.71,Florida
CUST_1223,Male,1,1,1,28,One year,DSL,44.94,1281.34,Pennsylvania
CUST_1224,Male,0,1,1,29,One year,DSL,98.32,2886.5,Utah
CUST_1225,Male,0,1,1,27,Month-to-month, None,86.08,2346.88,North Dakota
CUST_1226,Male,0,1,1,49,Month-to-month,fibre optic,36.8,1841.42,North Dakota
CUST_1227,Male,0,0,0,55,Two years,fibre optic,110.1,6082.25,Vermont
CUST_1228,Female,0,1,1,11,Two years,fibre optic,115.61,1272.4,Connecticut
CUST_1229,Male,0,1,0,41,Month-to-month, None,66.64,2768.68,Florida
CUST_1230,Female,0,0,1,8,Month-to-month,DSL,106.26,883.39,Hawaii
CUST_1231,Female,0,1,0,6,Month-to-month,DSL,105.49,618.15,California
CUST_1232,Male,0,0,1,40,One year,fibre optic,68.55,2759.84,Connecticut
CUST_1233,Female,0,1,0,20,One year,fibre optic,77.17,1535.17,Ohio
CUST_1234,Female,0,1,0,60,Two years,fibre optic,30.17,1813.98,Alaska
CUST_1235,Female,0,0,0,67,Month-to-month,DSL,116.24,7770.14,Nebraska
CUST_1236,Female,0,0,1,54,Month-to-month,fibre optic,80.93,4373.28,Connecticut
CUST_1237,Female,0,0,1,17,Month-to-month,DSL,106.95,1822.83,Michigan
CUST_1238,Male,0,0,0,17,Month-to-month,fibre optic,60.26,1031.97,Ohio
CUST_1239,Male,1,0,0,31,Month-to-month,DSL,60.15,1861.75,Alabama
CUST_1240,Male,0,1,0,63,Two years,DSL,84.73,5363.38,Arkansas
CUST_1241,Female,0,0,0,40,Month-to-month,DSL,30.44,1215.27,Texas
CUST_1242,Female,0,1,1,17,Month-to-month,fibre optic,70.9,1194.81,Kansas
CUST_1243,Female,0,1,1,48,Two years,fibre optic,97.47,4709.54,Oregon
CUST_1244,Male,0,1,0,11,Month-to-month,fibre optic,80.34,926.63,Delaware
CUST_1245,Female,0,1,1,51,One year,fibre optic,37.32,1920.71,Utah
CUST_1246,Female,0,0,0,10,One year,DSL,44.87,487.64,Wyoming
CUST_1247,Female,0,0,1,41,Two years,fibre optic,82.52,3395.89,New Hampshire
CUST_1248,Male,0,0,1,61,One year,fibre optic,104.68,6423.02,Louisiana
CUST_1249,Female,0,0,0,10,Month-to-month,fibre optic,96.09,949.3,Wisconsin
CUST_1250,Male,0,1,1,67,One year,fibre optic,114.48,7667.78,Kansas
CUST_1251,Female,1,0,0,8,One year,fibre optic,100.85,848.84,Indiana
CUST_1252,Male,0,0,0,40,Month-to-month,fibre optic,105.75,4221.66,Illinois
CUST_1253,Female,0,1,0,65,Month-to-month,DSL,91.77,5969.65,Nevada
CUST_1254,Male,0,1,0,34,Month-to-month,fibre optic,79.82,2695.58,Maryland
CUST_1255,Female,0,1,0,70,Month-to-month,fibre optic,99.81,6992.76,Pennsylvania
CUST_1256,Male,0,0,0,13,Two years,fibre optic,62.27,809.88,Ohio
CUST_1257,Male,0,1,0,30,One year,DSL,96.67,2944.67,Indiana
CUST_1258,Female,1,1,1,52,Two years,DSL,50.07,2613.54,West Virginia
CUST_1259,Female,0,1,0,12,Month-to-month,fibre optic,65.08,807.5,Mississippi
CUST_1260,Female,1,1,0,26,Month-to-month,DSL,65.35,1694.88,New York
CUST_1261,Male,0,0,0,71,Month-to-month,DSL,58.56,4173.38,Wyoming
CUST_1262,Male,0,0,0,20,Month-to-month,fibre optic,102.49,2031.37,Nevada
CUST_1263,Male,0,1,0,53,One year,fibre optic,41.4,2199.12,Texas
CUST_1264,Male,1,1,0,38,Month-to-month,fibre optic,48.89,1885.7,Idaho
CUST_1265,Male,0,0,0,48,One year,fibre optic,119.71,5746.1,Michigan
CUST_1266,Male,0,1,0,65,Month-to-month,fibre optic,117.6,7635.13,Utah
CUST_1267,Female,0,1,0,25,Month-to-month,fibre optic,33.0,815.32,Utah
CUST_1268,Male,1,1,0,28,Month-to-month,DSL,43.11,1199.67,Alabama
CUST_1269,Male,0,1,1,66,Two years,fibre optic,110.45,7335.18,Iowa
CUST_1270,Male,0,1,1,13,Month-to-month,fibre optic,93.83,1257.76,Oklahoma
CUST_1271,Male,0,1,1,71,Month-to-month,fibre optic,83.14,5894.59,Missouri
CUST_1272,Female,0,1,1,6,Month-to-month,DSL,85.92,521.82,Delaware
CUST_1273,Male,0,0,0,30,Month-to-month,fibre optic,33.67,1016.11,Minnesota
CUST_1274,Male,0,1,0,10,Two years,fibre optic,94.01,976.07,Rhode Island
CUST_1275,Female,1,1,1,69,One year,fibre optic,35.68,2467.53,Mississippi
CUST_1276,Female,0,0,1,33,Month-to-month,fibre optic,118.49,3946.12,Arkansas
CUST_1277,Female,0,0,0,41,Month-to-month,fibre optic,36.35,1527.96,Washington
CUST_1278,Female,0,0,0,47,Month-to-month,DSL,76.22,3566.48,West Virginia
CUST_1279,Female,0,1,0,34,Two years,fibre optic,92.52,3157.95,Wisconsin
CUST_1280,Female,0,0,0,44,Two years,fibre optic,73.04,3262.78,West Virginia
CUST_1281,Male,0,1,1,21,One year,fibre optic,35.49,742.39,Georgia
CUST_1282,Male,1,0,1,71,Two years,fibre optic,39.45,2788.89,South Carolina
CUST_1283,Female,0,1,1,24,Month-to-month,fibre optic,110.64,2689.84,Washington
CUST_1284,Male,0,1,0,33,Month-to-month,fibre optic,66.49,2235.65,New Hampshire
CUST_1285,Female,0,1,0,25,Month-to-month,fibre optic,54.99,1363.0,New Mexico
CUST_1286,Male,0,1,0,11,One year,fibre optic,59.33,669.2,Michigan
CUST_1287,Female,0,1,1,14,Month-to-month,DSL,64.53,923.49,Massachusetts
CUST_1288,Female,1,1,1,55,One year,DSL,93.35,5181.52,Rhode Island
CUST_1289,Female,0,1,1,28,Month-to-month,DSL,88.24,2475.99,Minnesota
CUST_1290,Female,1,0,0,45,Month-to-month,fibre optic,60.01,2725.78,Nebraska
CUST_1291,Female,1,1,1,57,Month-to-month,fibre optic,105.29,6008.52,Maryland
CUST_1292,Female,0,0,0,38,Month-to-month,fibre optic,77.43,2924.97,Wyoming
CUST_1293,Female,0,1,1,44,Month-to-month, None,60.5,2648.66,Tennessee
CUST_1294,Female,0,0,0,69,Month-to-month,fibre optic,84.68,5864.87,New Jersey
CUST_1295,Male,0,1,0,35,One year,DSL,74.57,2593.53,Mississippi
CUST_1296,Female,1,1,0,37,Month-to-month,fibre optic,35.63,1349.96,Washington
CUST_1297,Male,0,0,0,61,Month-to-month,DSL,91.87,5643.61,Nevada
CUST_1298,Male,0,1,0,44,Two years, None,68.6,3051.83,New Hampshire
CUST_1299,Male,0,0,1,17,Two years,DSL,65.97,1132.94,Oklahoma
CUST_1300,Male,0,1,0,37,Month-to-month,fibre optic,112.84,4171.46,Arizona
CUST_1301,Male,0,1,0,6,One year,fibre optic,63.41,414.7,South Carolina
CUST_1302,Female,0,0,0,63,One year, None,84.55,5344.15,Tennessee
CUST_1303,Male,1,0,0,36,One year,DSL,31.08,1165.66,Maine
CUST_1304,Female,0,1,1,17,Two years,DSL,116.57,1988.05,Maine
CUST_1305,Male,0,0,1,4,Month-to-month,fibre optic,104.54,453.1,North Carolina
CUST_1306,Female,1,1,0,31,Month-to-month,DSL,93.88,2953.59,Nevada
CUST_1307,Male,0,1,0,23,Month-to-month,fibre optic,38.82,888.94,Ohio
CUST_1308,Male,0,0,1,52,Two years,fibre optic,50.22,2632.69,New Hampshire
CUST_1309,Male,0,0,0,55,Two years,fibre optic,69.46,3869.36,Iowa
CUST_1310,Male,1,0,0,57,One year,fibre optic,102.82,5880.31,Indiana
CUST_1311,Female,0,0,0,7,One year,fibre optic,73.68,533.42,Alaska
CUST_1312,Female,0,1,0,49,One year, None,102.6,5007.56,Wisconsin
CUST_1313,Male,0,1,1,27,Month-to-month,fibre optic,108.96,2967.18,Missouri
CUST_1314,Male,0,0,1,58,Month-to-month,fibre optic,37.26,2155.18,Nebraska
CUST_1315,Female,0,0,0,54,Month-to-month,fibre optic,68.29,3672.78,North Dakota
CUST_1316,Male,1,1,1,64,Month-to-month,fibre optic,63.61,4063.9,Massachusetts
CUST_1317,Male,1,0,1,64,Two years,fibre optic,58.79,3766.63,Arkansas
CUST_1318,Male,0,1,0,14,One year, None,70.36,1029.51,Missouri
CUST_1319,Male,0,0,0,12,Two years,fibre optic,83.68,1017.92,New Jersey
CUST_1320,Female,0,1,0,38,Month-to-month,fibre optic,53.77,2055.67,Georgia
CUST_1321,Female,0,1,0,21,One year,fibre optic,38.08,818.7,Maryland
CUST_1322,Male,0,1,1,64,Two years,fibre optic,41.31,2657.19,South Dakota
CUST_1323,Female,0,1,0,58,One year,DSL,75.96,4396.2,Kansas
CUST_1324,Male,0,0,0,50,One year,DSL,70.48,3530.59,North Dakota
CUST_1325,Male,0,0,1,63,Month-to-month,fibre optic,70.74,4464.8,Texas
CUST_1326,Female,0,0,0,59,One year,fibre optic,70.32,4161.81,New York
